,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Paxten Aaronson,us USA,MFDF,Eint Frankfurt,19-255,2003,1.5,0,4,1,25.0,2.67,0.67,0.00,0.00,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,4cd41883
2,Sargis Adamyan,am ARM,FWMF,Köln,29-350,1993,7.2,1,21,11,52.4,2.93,1.54,0.05,0.09,14.0,0,0,0,3.4,3.4,0.16,-2.4,-2.4,Matches,22919e97
3,Karim Adeyemi,de GER,FWMF,Dortmund,21-110,2002,13.2,6,32,13,40.6,2.43,0.99,0.19,0.46,17.3,0,0,1,4.8,4.0,0.13,+1.2,+2.0,Matches,501055d8
4,Amine Adli,fr FRA,FWMF,Leverkusen,22-363,2000,14.2,4,32,15,46.9,2.26,1.06,0.13,0.27,14.0,1,0,0,4.4,4.4,0.14,-0.4,-0.4,Matches,dcfb17f4
5,Felix Agu,de GER,DFFW,Werder Bremen,23-223,1999,0.5,0,1,0,0.0,1.84,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,cb6d81b3
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,21-040,2002,15.5,2,16,5,31.3,1.03,0.32,0.13,0.40,22.1,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches,a6c58494
7,Ludovic Ajorque,fr FRA,FWMF,Mainz 05,29-072,1994,12.4,6,29,13,44.8,2.35,1.05,0.21,0.46,14.3,0,0,0,4.4,4.4,0.15,+1.6,+1.6,Matches,462475ed
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-019,1995,19.9,0,7,1,14.3,0.35,0.05,0.00,0.00,17.6,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,6ec6fde0
9,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,30-212,1992,3.7,1,11,4,36.4,2.99,1.09,0.09,0.25,14.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches,834d0be5
10,Faride Alidou,de GER,DFMF,Eint Frankfurt,21-294,2001,2.0,0,2,0,0.0,0.99,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,00f518d8
11,Éder Álvarez Balanta,co COL,MFFW,Schalke 04,30-069,1993,2.6,0,1,1,100.0,0.38,0.38,0.00,0.00,17.5,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,8ce30c57
