,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Oliver Baumann,de GER,GK,Hoffenheim,32-340,1990,31,31,2790,31.0,52,1.68,151,100,66.9,9,5,17,5,16.1,3,2,0,1,0.0,Matches,47064058
2,Janis Blaswich,de GER,GK,RB Leipzig,32-006,1991,24,24,2160,24.0,27,1.13,68,40,69.1,14,4,6,7,29.2,7,6,1,0,14.3,Matches,663e080e
3,Fabian Bredlow,de GER,GK,Stuttgart,28-067,1995,12,12,1080,12.0,20,1.67,49,30,67.3,3,3,6,1,8.3,4,4,0,0,0.0,Matches,d28339cb
4,Koen Casteels,be BEL,GK,Wolfsburg,30-317,1992,31,31,2790,31.0,43,1.39,133,91,70.7,12,10,9,12,38.7,7,4,1,2,20.0,Matches,db401046
5,Oliver Christensen,dk DEN,GK,Hertha BSC,24-047,1999,31,31,2790,31.0,62,2.00,143,80,60.1,6,7,18,3,9.7,6,5,1,0,16.7,Matches,af104654
6,Finn Dahmen,de GER,GK,Mainz 05,25-042,1998,6,6,540,6.0,10,1.67,28,17,67.9,3,1,2,0,0.0,2,1,1,0,50.0,Matches,dee3013b
7,Ralf Fährmann,de GER,GK,Schalke 04,34-223,1988,11,11,935,10.4,9,0.87,44,36,81.8,3,6,2,5,45.5,2,1,0,1,0.0,Matches,1e43fad8
8,Mark Flekken,nl NED,GK,Freiburg,29-329,1993,31,31,2790,31.0,38,1.23,138,100,76.1,16,8,7,12,38.7,6,5,0,1,0.0,Matches,a92ab7be
9,Rafał Gikiewicz,pl POL,GK,Augsburg,35-194,1987,23,23,2070,23.0,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7,Matches,17376543
10,Lennart Grill,de GER,GK,Union Berlin,24-103,1999,5,5,450,5.0,11,2.20,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0,Matches,37998008
11,Péter Gulácsi,hu HUN,GK,RB Leipzig,33-002,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0,Matches,bcb2ccd8
12,Lukáš Hrádecký,fi FIN,GK,Leverkusen,33-165,1989,30,30,2699,30.0,41,1.37,130,91,73.1,14,6,10,9,30.0,6,6,0,0,0.0,Matches,ad3389d5
13,Jan Jakob Olschowsky,de GER,GK,M'Gladbach,21-171,2001,2,2,180,2.0,4,2.00,14,10,71.4,1,0,1,0,0.0,0,0,0,0,,Matches,fa4cabd1
14,Gregor Kobel,ch SUI,GK,Dortmund,25-153,1997,24,24,2160,24.0,28,1.17,107,80,73.8,17,2,5,10,41.7,0,0,0,0,,Matches,cd59b9df
15,Tomáš Koubek,cz CZE,GK,Augsburg,30-255,1992,8,8,720,8.0,14,1.75,40,27,65.0,1,4,3,1,12.5,0,0,0,0,,Matches,dc366c36
16,Andrey Lunyov,ru RUS,GK,Leverkusen,31-176,1991,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,8a6ab963
17,Alexander Meyer,de GER,GK,Dortmund,32-025,1991,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,,Matches,b56dd813
18,Florian Müller,de GER,GK,Stuttgart,25-176,1997,19,19,1710,19.0,34,1.79,87,53,62.1,3,7,9,1,5.3,1,1,0,0,0.0,Matches,cbac6ec9
19,Manuel Neuer,de GER,GK,Bayern Munich,37-042,1986,12,12,1080,12.0,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0.0,Matches,8778c910
20,Ørjan Nyland,no NOR,GK,RB Leipzig,32-240,1990,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,bdedffac
21,Jonas Omlin,ch SUI,GK,M'Gladbach,29-118,1994,14,14,1200,13.3,18,1.35,54,36,70.4,4,4,6,4,28.6,2,2,0,0,0.0,Matches,c631f952
22,Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-024,1992,30,30,2638,29.3,57,1.94,155,99,64.5,10,4,16,4,13.3,3,2,1,0,33.3,Matches,0a1cb833
23,Diant Ramaj,de GER,GK,Eint Frankfurt,21-231,2001,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,b90c4a43
24,Manuel Riemann,de GER,GK,Bochum,34-241,1988,31,31,2790,31.0,69,2.23,193,124,68.4,8,4,19,4,12.9,14,8,3,3,27.3,Matches,9f941969
25,Frederik Rønnow,dk DEN,GK,Union Berlin,30-277,1992,26,26,2340,26.0,21,0.81,106,85,83.0,14,7,5,10,38.5,3,3,0,0,0.0,Matches,a70b8345
26,Marvin Schwäbe,de GER,GK,Köln,28-013,1995,31,31,2790,31.0,49,1.58,116,69,61.2,9,11,11,6,19.4,5,4,1,0,20.0,Matches,87436846
27,Alexander Schwolow,de GER,GK,Schalke 04,30-340,1992,21,20,1855,20.6,50,2.43,123,73,61.8,4,3,13,2,10.0,3,3,0,0,0.0,Matches,0d55d942
28,Tobias Sippel,de GER,GK,M'Gladbach,35-047,1988,6,5,510,5.7,12,2.12,33,21,66.7,1,1,3,1,20.0,1,1,0,0,0.0,Matches,0d8a37c2
29,Yann Sommer,ch SUI,GK,M'Gladbach,34-142,1988,10,10,900,10.0,14,1.40,60,47,80.0,4,4,2,3,30.0,2,2,0,0,0.0,Matches,420c18a1
30,Yann Sommer,ch SUI,GK,Bayern Munich,34-142,1988,16,16,1440,16.0,21,1.31,46,25,63.0,9,4,3,4,25.0,4,4,0,0,0.0,Matches,420c18a1
31,Kevin Trapp,de GER,GK,Eint Frankfurt,32-304,1990,30,30,2700,30.0,48,1.60,116,69,60.3,11,9,10,5,16.7,2,2,0,0,0.0,Matches,ce17b5eb
32,Sven Ulreich,de GER,GK,Bayern Munich,34-278,1988,3,3,270,3.0,2,0.67,8,5,75.0,3,0,0,2,66.7,1,0,1,0,100.0,Matches,7d3e7da6
33,Robin Zentner,de GER,GK,Mainz 05,28-192,1994,25,25,2250,25.0,36,1.44,103,66,67.0,9,8,8,7,28.0,4,2,1,1,33.3,Matches,5c4bf6ba
34,Michael Zetterer,de GER,GK,Werder Bremen,27-300,1995,2,1,152,1.7,3,1.78,14,11,78.6,0,1,0,0,0.0,0,0,0,0,,Matches,9b688ae1
