,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Paxten Aaronson,us USA,MFDF,Eint Frankfurt,19-255,2003,5,0,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,6,10,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Matches,4cd41883
2,Sargis Adamyan,am ARM,FWMF,Köln,29-350,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58,Matches,22919e97
3,Karim Adeyemi,de GER,FWMF,Dortmund,21-110,2002,21,17,1186,13.2,6,5,11,6,0,1,8,0,4.7,3.9,3.6,7.6,42,45,118,0.46,0.38,0.83,0.46,0.83,0.36,0.27,0.63,0.30,0.57,Matches,501055d8
4,Amine Adli,fr FRA,FWMF,Leverkusen,22-363,2000,23,13,1276,14.2,4,3,7,4,0,0,2,1,4.4,4.4,1.6,6.0,42,49,121,0.28,0.21,0.49,0.28,0.49,0.31,0.11,0.43,0.31,0.43,Matches,dcfb17f4
5,Felix Agu,de GER,DFFW,Werder Bremen,23-223,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22,Matches,cb6d81b3
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,21-040,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches,a6c58494
7,Ludovic Ajorque,fr FRA,FWMF,Mainz 05,29-072,1994,15,14,1112,12.4,6,1,7,6,0,0,4,0,4.4,4.4,1.7,6.1,4,28,81,0.49,0.08,0.57,0.49,0.57,0.36,0.14,0.50,0.36,0.50,Matches,462475ed
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-019,1995,26,19,1791,19.9,0,0,0,0,0,0,10,0,0.6,0.6,0.5,1.2,16,79,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,6ec6fde0
9,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,30-212,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.0,1.5,2,8,17,0.27,0.00,0.27,0.27,0.27,0.39,0.01,0.40,0.39,0.40,Matches,834d0be5
10,Faride Alidou,de GER,DFMF,Eint Frankfurt,21-294,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24,0.00,0.49,0.49,0.00,0.49,0.05,0.24,0.28,0.05,0.28,Matches,00f518d8
11,Éder Álvarez Balanta,co COL,MFFW,Schalke 04,30-069,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,Matches,8ce30c57
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-337,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cd682b6b
13,Nadiem Amiri,de GER,MFFW,Leverkusen,26-193,1996,22,8,877,9.7,4,1,5,3,1,1,5,0,1.7,0.9,1.0,1.9,26,52,26,0.41,0.10,0.51,0.31,0.41,0.17,0.10,0.28,0.09,0.20,Matches,555d5edd
14,Robert Andrich,de GER,MF,Leverkusen,28-228,1994,29,28,2406,26.7,2,2,4,2,0,0,7,0,1.6,1.6,1.2,2.8,12,99,8,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11,Matches,e0b113a7
15,Angeliño,es ESP,DF,Hoffenheim,26-124,1997,30,27,2365,26.3,0,7,7,0,0,0,2,0,1.1,1.1,6.7,7.8,22,102,113,0.00,0.27,0.27,0.00,0.27,0.04,0.25,0.30,0.04,0.30,Matches,30941e96
16,Waldemar Anton,de GER,DF,Stuttgart,26-292,1996,31,31,2664,29.6,1,2,3,1,0,0,3,0,1.6,1.6,1.4,3.0,51,125,49,0.03,0.07,0.10,0.03,0.10,0.05,0.05,0.10,0.05,0.10,Matches,5e66fa06
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,29-090,1994,26,19,1726,19.2,2,6,8,2,0,0,2,0,2.1,2.1,3.5,5.7,55,28,192,0.10,0.31,0.42,0.10,0.42,0.11,0.18,0.30,0.11,0.30,Matches,0a3f6cde
18,Charles Aránguiz,cl CHI,MF,Leverkusen,34-021,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,3,32,7,0.18,0.00,0.18,0.18,0.18,0.06,0.04,0.10,0.06,0.10,Matches,56413b1f
19,Maximilian Arnold,de GER,MF,Wolfsburg,28-346,1994,29,29,2506,27.8,5,3,8,2,3,5,5,0,4.9,0.9,4.8,5.8,27,132,17,0.18,0.11,0.29,0.07,0.18,0.17,0.17,0.35,0.03,0.21,Matches,86e119e0
20,Takuma Asano,jp JPN,FWMF,Bochum,28-179,1994,22,18,1477,16.4,2,2,4,2,0,0,1,0,4.6,4.6,1.5,6.1,28,28,99,0.12,0.12,0.24,0.12,0.24,0.28,0.09,0.37,0.28,0.37,Matches,13ddc856
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-273,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,1.7,1.7,0.2,1.8,4,1,19,0.00,0.00,0.00,0.00,0.00,0.88,0.10,0.98,0.88,0.98,Matches,35f67a30
